NOMENCLATURA,CONVOCATORIA_INICIO,CONVOCATORIA_FIN,CONSULTAS_INICIO,CONSULTAS_FIN,BUENA_PRO
CP-SM-29-2024-ELSE-1,2024-07-03T00:00:00-05:00,2024-07-03T00:00:00-05:00,2024-07-04T00:01:00-05:00,2024-07-17T23:59:00-05:00,2024-08-28T00:00:00-05:00
AS-SM-58-2024-ELSE-1,2024-07-02T00:00:00-05:00,2024-07-02T00:00:00-05:00,2024-07-03T00:01:00-05:00,2024-07-08T23:59:00-05:00,2024-08-09T00:00:00-05:00
CP-SM-62-2024-ELSE-1,2024-07-05T00:00:00-05:00,2024-07-05T00:00:00-05:00,2024-07-06T00:01:00-05:00,2024-07-19T23:59:00-05:00,2024-09-06T00:00:00-05:00
AS-SM-52-2024-ELSE-2,2024-07-15T00:00:00-05:00,2024-07-15T00:00:00-05:00,2024-07-16T00:01:00-05:00,2024-07-18T23:59:00-05:00,2024-09-06T00:00:00-05:00
CP-SM-2-2024-ELSE-1,2024-07-08T00:00:00-05:00,2024-07-08T00:00:00-05:00,2024-07-09T00:01:00-05:00,2024-07-22T23:59:00-05:00,
AS-SM-21-2024-ELSE-1,2024-07-11T00:00:00-05:00,2024-07-11T00:00:00-05:00,2024-07-12T00:01:00-05:00,2024-07-16T23:59:00-05:00,2024-10-17T00:00:00-05:00
LP-SM-12-2024-ELSE-1,2024-07-04T00:00:00-05:00,2024-07-04T00:00:00-05:00,2024-07-05T00:01:00-05:00,2024-07-18T23:59:00-05:00,2024-08-28T00:00:00-05:00
AS-SM-29-2024-ELSE-1,2024-07-19T00:00:00-05:00,2024-07-19T00:00:00-05:00,2024-07-20T00:01:00-05:00,2024-07-25T23:59:00-05:00,2024-08-27T00:00:00-05:00
LP-SM-9-2024-ELSE-1,2024-07-15T00:00:00-05:00,2024-07-15T00:00:00-05:00,2024-07-16T00:01:00-05:00,2024-08-01T23:59:00-05:00,
CP-SM-26-2024-ELSE-1,2024-07-30T00:00:00-05:00,2024-07-30T00:00:00-05:00,2024-07-31T00:01:00-05:00,2024-08-14T23:59:00-05:00,
CP-SM-62-2024-ELSE-1,2024-07-05T00:00:00-05:00,2024-07-05T00:00:00-05:00,2024-07-06T00:01:00-05:00,2024-07-19T23:59:00-05:00,
LP-SM-12-2024-ELSE-1,2024-07-04T00:00:00-05:00,2024-07-04T00:00:00-05:00,2024-07-05T00:01:00-05:00,2024-07-18T23:59:00-05:00,
AS-SM-69-2024-ELSE-1,2024-07-05T00:00:00-05:00,2024-07-05T00:00:00-05:00,2024-07-06T00:01:00-05:00,2024-07-10T23:59:00-05:00,
AS-SM-41-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-06-27T23:59:00-05:00,2024-07-22T00:00:00-05:00
AS-SM-68-2024-ELSE-1,2024-06-17T00:00:00-05:00,2024-06-17T00:00:00-05:00,2024-06-18T00:01:00-05:00,2024-06-19T23:59:00-05:00,2024-07-11T00:00:00-05:00
AS-SM-38-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-06-24T23:59:00-05:00,2024-08-14T00:00:00-05:00
CP-SM-45-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-07-04T23:59:00-05:00,2024-09-10T00:00:00-05:00
AS-SM-13-2023-ELSE-2,2024-06-19T00:00:00-05:00,2024-06-19T00:00:00-05:00,2024-06-20T00:01:00-05:00,2024-06-24T23:59:00-05:00,2024-07-12T00:00:00-05:00
AS-SM-38-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-06-24T23:59:00-05:00,2024-07-11T00:00:00-05:00
